Id,Label,Type
106,SMU | IS1702: Computational Thinking,Module
107,SMU | IS415: Geospatial Analytics and Applications,Module
108,SMU | IS417: Data Warehousing and Business Analytics,Module
109,SMU | IS424: Data Mining and Business Analytics,Module
110,SMU | IS428: Visual Analytics for Business Intelligence,Module
111,SMU | IS460: Machine Learning & Applications,Module
112,SMU | MKTG228: Marketing Analytics,Module
113,SMU | OPIM326: Service and Operations Analytics,Module
114,SMU | STAT201: Probability Theory and Applications,Module
115,SUSS | ACC202: Financial and Managerial Accounting,Module
116,SUSS | ANL201: Data Visualisation for Business,Module
117,SUSS | ANL252: Python for Data Analytics,Module
118,SUSS | ANL303: Fundamentals of Data Mining,Module
119,SUSS | ANL305: Association and Clustering,Module
120,SUSS | ANL307: Predictive Modelling,Module
121,SUSS | ANL310: Business Analytics Applications and Issues,Module
122,SUSS | ANL312: Text Mining and Applied Project Formulation,Module
123,SUSS | ANL488: Business Analytics Applied Project,Module
124,SUSS | BUS105: Statistics,Module
125,SUSS | FIN203: Essentials of Financial Management,Module
126,SUSS | MKT202e: Marketing Management,Module
127,SUSS | ACC353: Accounting Analytics,Module
128,SUSS | ANL317: Business Forecasting,Module
129,SUSS | ANL321: Statistical Methods,Module
130,SUSS | ANL351: SAS Programming and its Application,Module
131,SUSS | ANL355: Applied Operations Research,Module
132,SUSS | BIS388: Independent Study,Module
133,SUSS | BME363: Applications of Artificial Intelligence in Healthcare,Module
134,SUSS | BUS102: Management in the Digital Age,Module
135,SUSS | BUS107: Quantitative Methods,Module
136,SUSS | BUS201: Contract and Agency Law,Module
137,SUSS | BUS352: Operations Analytics,Module
138,SUSS | BUS353: Project Management,Module
139,SUSS | BUS357: Starting and Managing a business,Module
140,SUSS | ECO202: Economic Ideas and Models for Business,Module
141,SUSS | ENG233: Internet of Things (IoT),Module
142,SUSS | ICT233: Data Programming,Module
143,SUSS | ICT330: Database Management Systems,Module
144,SUSS | MKT365: Social Media Metrics & Analytics,Module
145,SUSS | MKT371: Customer Insights and Analytics,Module
146,SUSS | MKT390: Marketing Research,Module
147,SUTD | 10.014: Computational Thinking for Design,Module
148,SUTD | 50.001: Information Systems & Programming,Module
149,SUTD | 50.002: Computation Structures,Module
150,SUTD | 50.003: Elements of Software Construction,Module
151,SUTD | 50.004: Algorithms,Module
152,SUTD | 50.005: Computer System Engineering,Module
153,SUTD | 50.007: Machine Learning,Module
154,SUTD | 40.319: Statistical and Machine Learning,Module
155,SUTD | 50.038: Computational Data Science,Module
156,SUTD | 50.043: Database Systems,Module
157,SUTD | 50.035: Computer Vision,Module
158,SUTD | 50.039: Theory and Practice of Deep Learning,Module
159,SUTD | 50.04: Natural Language Processing,Module
160,SUTD | 50.006: User Interface Design and Implementation,Module
161,SUTD | 50.012: Networks,Module
162,SUTD | 50.017: Graphics and Visualisation,Module
163,SUTD | 50.02: Network Security,Module
164,SUTD | 50.021: Artificial Intelligence,Module
165,SUTD | 50.033: Foundations of Game Design and Development,Module
166,SUTD | 50.037: Blockchain Technology,Module
167,SUTD | 50.041: Distributed Systems and Computing,Module
168,SUTD | 50.042: Foundations of Cybersecurity,Module
169,SUTD | 50.044: System Security,Module
170,SUTD | 50.045: Information Retrieval,Module
171,SUTD | 50.046: Cloud Computing and Internet of Things,Module
172,SUTD | 50.049: Parallel Computing on Multicore Architectures,Module
173,SUTD | 50.05: Discrete Mathematics and Algorithm Design,Module
174,SUTD | 50.051: Programming Language Concepts,Module
175,SUTD | 50.052: Extended Reality,Module
176,SUTD | 50.053: Software Testing and Verification,Module
