language,NUS,"['DSA2102', 'DSA2102', 'CS3243', 'CS4248', 'CS4248', 'CS5340 ']"
language,NTU,"['CZ1003', 'CZ1003', 'CZ1003', 'CZ2002', 'CZ2007', 'MH3511', 'MH3511']"
language,SMU,"['CS420', 'DSA306']"
language,SUSS,"['ICT233', 'ICT233', 'ICT330', 'MKT365']"
language,SUTD,"[50.003, 50.04, 50.041, 50.051, 50.051]"
language,SIT,"['ICT1008', 'CSC1009', 'Natural Language Processing']"
examination,NUS,['DSA2102']
computer,NUS,"['DSA2102', 'CS4243', 'CS4243', 'CS4248']"
computer,NTU,"['CZ1003', 'CZ1003', 'CZ1003', 'MH1812', 'MH1812', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ2001', 'CZ3005', 'CZ4041']"
computer,SMU,"['DSA201', 'IS1702']"
computer,SUSS,['ANL355']
computer,SUTD,"[50.005, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.006, 50.006, 50.012, 50.012, 50.012, 50.012, 50.017, 50.017, 50.017, 50.017, 50.017, 50.044, 50.044, 50.044, 50.044, 50.044, 50.044, 50.05, 50.05, 50.051]"
computer,SIT,['Computer Vision and Deep Learning']
arithmetic,NUS,['DSA2102']
arithmetic,NTU,"['MH1812', 'MH1812', 'CZ1007']"
arithmetic,SUTD,[50.05]
multiplication,NUS,['DSA2102']
multiplication,NTU,['MH2802']
method,NUS,"['DSA2102', 'DSA2102', 'ST2131', 'ST2132', 'ST2132', 'DSA3102', 'DSA3102', 'DSA4212', 'MA3236', 'MA3236', 'MA3236', 'MA3236', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA4270', 'MA4270', 'MA4270', 'MA4270', 'ST3239', 'ST3247', 'ST3248', 'ST3248', 'ST3248', 'ST4231', 'ST4231', 'ST4231', 'ST4248', 'ST4248', 'CS3223']"
method,NTU,"['MH1805', 'CZ1007', 'CZ2002', 'CZ2002', 'CZ2002', 'CZ2002', 'CZ2002', 'CZ2002', 'CZ2001', 'CZ2001', 'MH3500', 'MH3500', 'MH3511']"
method,SMU,"['DSA201', 'DSA201', 'DSA211', 'DSA211', 'DSA303', 'DSA303', 'ECON233', 'IS428']"
method,SUSS,"['ACC353', 'ACC353', 'ANL321', 'ANL355', 'BUS107']"
method,SUTD,"[40.319, 50.039, 50.045, 50.045, 50.05, 50.05, 50.05, 50.05]"
least,NUS,"['DSA2102', 'MA4230']"
square,NUS,"['DSA2102', 'MA4230']"
square,NTU,['MH2802']
interpolation,NUS,['DSA2102']
sample,NUS,"['DSA2102', 'ST2131', 'ST2132', 'ST3239', 'ST3239']"
sample,NTU,"['MH3500', 'MH3500', 'MH3500', 'MH3511', 'MH3511', 'MH3511', 'MH3511']"
application,NUS,"['DSA2102', 'MA2104', 'CS3223']"
application,NTU,"['MH1805', 'CC0007']"
application,SMU,"['COR1305', 'CS420', 'IS417', 'IS417']"
application,SUSS,"['ANL303', 'ANL310', 'ANL351']"
application,SUTD,"[50.005, 50.012, 50.017, 50.033, 50.037, 50.037, 50.037, 50.041, 50.045, 50.046, 50.052]"
application,SIT,"['CSC3009', 'ICT1004', 'ICT1004', 'CSC1009', 'CSC2003', 'CSC2003', 'CSC3004']"
sequence,NUS,"['MA2311', 'CS4248', 'CS4248']"
sequence,NTU,"['CZ1003', 'CZ2002']"
sequence,SUTD,"[50.039, 50.039, 50.021]"
sequence,SIT,['CSC1002']
series,NUS,"['MA2311', 'MA2311', 'ST4253', 'ST4253']"
series,NTU,"['MH1805', 'MH1805', 'MH1805', 'MH1805', 'CZ2001', 'MH3500']"
series,SUSS,['ANL317']
series,SUTD,"[40.319, 40.319, 50.038]"
series,SIT,"['CSC1002', 'CSC2008']"
power,NUS,['MA2311']
power,NTU,"['MH1805', 'MH1805', 'MH1812', 'CZ2001', 'CZ2001']"
power,SIT,['CSC2003']
vector,NUS,"['MA2311', 'MA2311', 'ST4248', 'MA4230']"
vector,NTU,"['MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH2802', 'MH3511', 'CZ4041', 'MH2100', 'MH2100', 'MH2100']"
vector,SMU,"['CS421', 'DSA301', 'DSA301', 'ECON233', 'ECON233', 'ECON233', 'IS460']"
vector,SUTD,"[50.007, 50.045]"
scalar,NUS,['MA2311']
valued,NUS,['MA2311']
valued,NTU,"['MH2100', 'MH2100', 'MH2100', 'MH2100']"
partial,NUS,"['MA2311', 'MA2104']"
partial,NTU,"['MH1812', 'MH2100']"
partial,SUTD,[50.042]
total,NUS,['MA2311']
taylor,NUS,"['MA2311', 'MA2104']"
taylor,NTU,['MH1805']
's,NUS,"['MA2311', 'ST4250']"
's,NTU,"['MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH2100']"
formula,NUS,"['MA2311', 'MA2104']"
jacobian,NUS,"['MA2311', 'MA2104']"
lagrange,NUS,"['MA2311', 'MA2104']"
lagrange,NTU,['MH2100']
multiplier,NUS,"['MA2311', 'MA2104', 'MA3236']"
multiplier,NTU,['MH2100']
multiple,NUS,"['MA2311', 'MA2104', 'MA2104', 'ST3131', 'ST3131', 'DSA4211', 'ST3232']"
multiple,NTU,"['CZ2002', 'MH3511']"
mathematics,NUS,['MA2104']
mathematics,NTU,"['MH1812', 'MH1812', 'MH2100']"
mathematics,SMU,"['COR1305', 'IS1702', 'IS1702']"
mathematics,SUSS,['ANL321']
mathematics,SUTD,"[50.05, 50.05]"
mathematics,SIT,"['CSC1002', 'CSC1002', 'CSC1006']"
physical,NUS,['MA2104']
physical,NTU,['CC0005']
physical,SUTD,"[50.012, 50.044]"
physical,SIT,['CSC2008']
science,NUS,['MA2104']
science,NTU,"['MH1812', 'CZ1007', 'CZ2001', 'CZ3005', 'CC0007', 'CC0007', 'CC0007', 'CC0007']"
science,SMU,"['DSA212', 'IS1702', 'MKTG228', 'STAT201']"
science,SUSS,['BUS107']
science,SUTD,"[50.038, 50.038, 50.038, 50.05]"
engineering,NUS,"['MA2104', 'CS4225']"
engineering,NTU,"['MH1812', 'CZ1007', 'CZ2001', 'CZ2006', 'CZ2006', 'CZ2006', 'CZ3005', 'CZ3005']"
engineering,SUTD,"[50.003, 50.003, 50.005, 50.006, 50.006, 50.006]"
engineering,SIT,"['ICT2101', 'ICT2101', 'CSC2008', 'CSC3004']"
skill,NUS,['MA2104']
skill,NTU,"['MH1805', 'CC0001', 'CC0001', 'CC0002', 'MH2802', 'MH2802', 'ML0004', 'HW0218']"
skill,SUSS,"['ANL201', 'ANL303', 'BUS105']"
skill,SUTD,[50.033]
green,NUS,"['MA2104', 'MA2104']"
green,NTU,['MH2100']
stokes,NUS,"['MA2104', 'MA2104']"
stokes,NTU,['MH2100']
divergence,NUS,"['MA2104', 'MA2104']"
divergence,NTU,['MH2100']
distance,NUS,"['MA2104', 'CS4248']"
distance,NTU,['MH2802']
topological,NUS,['MA2104']
concept,NUS,['MA2104']
concept,NTU,"['CZ1003', 'CZ1003', 'CZ1003', 'MH1805', 'CZ2002', 'MH3500']"
concept,SMU,"['IS105', 'IS112']"
concept,SUSS,['BUS105']
concept,SUTD,"[50.045, 50.045, 50.046, 50.05, 50.05]"
concept,SIT,"['CSC1009', 'CSC2008']"
differentiable,NUS,['MA2104']
directional,NUS,['MA2104']
directional,NTU,['MH2100']
gradient,NUS,"['MA2104', 'DSA3102', 'DSA3102', 'DSA3102', 'DSA4212', 'MA3236']"
gradient,NTU,['MH2100']
gradient,SUTD,"[50.021, 50.021]"
extreme,NUS,"['MA2104', 'MA3252', 'MA3252']"
iterated,NUS,['MA2104']
change,NUS,"['MA2104', 'MA2104']"
change,SMU,['ECON233']
change,SUTD,[50.039]
change,SIT,"['ICT4005', 'ICT4005']"
variable,NUS,"['MA2104', 'ST2131', 'ST2131', 'DSA4211', 'MA3252', 'ST3247']"
variable,NTU,"['CZ1003', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH3511']"
variable,SMU,"['STAT201', 'STAT201']"
variable,SUSS,['ANL321']
variable,SUTD,[40.319]
line,NUS,"['MA2104', 'CS3223']"
line,NTU,"['MH2802', 'MH2100']"
surface,NUS,['MA2104']
surface,NTU,"['MH2100', 'MH2100']"
theory,NUS,"['ST2131', 'ST2131', 'DSA4211', 'MA3252', 'ST4250', 'CS3210']"
theory,NTU,"['MH1805', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'CZ2001', 'CZ4041']"
theory,SMU,"['IS105', 'IS112', 'STAT201']"
theory,SUSS,"['MKT202e', 'ECO202']"
theory,SUTD,"[50.002, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 50.02, 50.05, 50.05, 50.05, 50.05, 50.05]"
theory,SIT,"['CSC1006', 'ICT4005']"
counting,NUS,['ST2131']
counting,NTU,"['MH1812', 'MH1812', 'MH2500']"
counting,SUTD,"[50.05, 50.05]"
event,NUS,"['ST2131', 'ST3247']"
event,NTU,"['MH2500', 'MH2500']"
event,SMU,"['ACCT420', 'STAT201']"
axiom,NUS,['ST2131']
axiom,NTU,['MH2802']
conditional,NUS,"['ST2131', 'ST2131', 'ST2131', 'CS5340 ']"
conditional,NTU,"['CZ1003', 'MH1812', 'MH1812', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500']"
conditional,SMU,"['ECON233', 'ECON233']"
random,NUS,"['ST2131', 'ST2131', 'ST2132', 'ST3239', 'ST3247']"
random,NTU,"['MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH3500']"
random,SMU,"['DSA201', 'OPIM326', 'STAT201', 'STAT201']"
random,SUSS,['ANL321']
random,SUTD,[50.042]
discrete,NUS,"['ST2131', 'ST3247', 'ST3247']"
discrete,NTU,"['MH1812', 'MH1812', 'MH1812', 'MH2500', 'MH2500', 'MH2500', 'MH2500']"
discrete,SMU,"['IS1702', 'STAT201']"
discrete,SUTD,[50.05]
discrete,SIT,['CSC1002']
continuous,NUS,"['ST2131', 'ST3247']"
continuous,NTU,"['MH2500', 'MH2500', 'MH2500']"
continuous,SMU,['STAT201']
distribution,NUS,"['ST2131', 'ST2131', 'ST2131', 'ST2132', 'ST4250', 'ST4250', 'ST4250', 'ST4231', 'ST4234', 'ST4234', 'CS4224']"
distribution,NTU,"['MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH3500', 'MH3500', 'MH3511']"
distribution,SMU,"['DSA201', 'STAT201', 'STAT201', 'STAT201', 'STAT201']"
distribution,SUSS,"['BUS105', 'BUS105']"
distribution,SIT,"['CSC1006', 'CSC1006']"
joint,NUS,['ST2131']
joint,NTU,"['MH2500', 'MH2500', 'MH2500']"
marginal,NUS,['ST2131']
marginal,NTU,"['MH2500', 'MH2500', 'MH2500', 'MH2500']"
expectation,NUS,"['ST2131', 'ST2131']"
expectation,NTU,"['MH2500', 'MH2500', 'MH2500']"
expectation,SMU,['STAT201']
expectation,SUTD,"[40.319, 40.319]"
moment,NUS,"['ST2131', 'ST2132']"
moment,NTU,"['MH2500', 'MH3500']"
generating,NUS,"['ST2131', 'ST3247']"
generating,NTU,['MH2500']
central,NUS,['ST2131']
central,NTU,"['MH2500', 'MH2500', 'MH3500', 'MH3500', 'MH3511']"
weak,NUS,['ST2131']
law,NUS,['ST2131']
law,NTU,"['MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH2500']"
law,SUSS,"['BUS201', 'BUS201']"
large,NUS,"['ST2131', 'MA4270']"
large,NTU,['MH2500']
large,SUTD,"[50.003, 50.003, 50.041]"
number,NUS,"['ST2131', 'ST3247']"
number,NTU,"['MH1812', 'MH1812', 'MH1812', 'MH2500']"
number,SUTD,"[50.042, 50.05, 50.05]"
number,SIT,"['CSC1002', 'CSC1001']"
methodology,NUS,['ST2132']
methodology,NTU,['CZ2002']
methodology,SUTD,"[50.001, 50.006]"
methodology,SIT,"['CSC3004', 'CSC3005']"
inferential,NUS,['ST2132']
inferential,SIT,['CSC1006']
procedure,NUS,"['ST2132', 'DSA4211', 'ST3239', 'ST3239', 'CS3243']"
procedure,SUSS,['ICT330']
procedure,SUTD,[50.002]
parametric,NUS,"['ST2132', 'ST4248']"
parametric,NTU,"['MH3511', 'MH2100']"
maximum,NUS,['ST2132']
maximum,NTU,"['MH3500', 'MH3500']"
maximum,SMU,"['DSA201', 'DSA303']"
likelihood,NUS,"['ST2132', 'ST2132', 'ST4231', 'ST4234']"
likelihood,NTU,"['MH3500', 'MH3500']"
likelihood,SMU,"['DSA201', 'DSA201', 'DSA303']"
estimate,NUS,"['ST2132', 'ST4231']"
estimate,NTU,"['MH3511', 'MH3511']"
fisher,NUS,['ST2132']
fisher,NTU,['MH3500']
information,NUS,['ST2132']
information,SMU,['DSA201']
information,SUTD,"[50.001, 40.319, 40.319, 50.045]"
sufficiency,NUS,['ST2132']
completeness,NUS,"['ST2132', 'CS3230', 'CS3230']"
consistency,NUS,"['ST2132', 'CS4231']"
consistency,SMU,['DSA201']
unbiasedness,NUS,['ST2132']
sampling,NUS,"['ST2132', 'ST3239', 'ST3239', 'ST3239', 'ST3239']"
sampling,NTU,"['MH2500', 'MH3511']"
sampling,SMU,"['DSA201', 'DSA201', 'STAT201']"
sampling,SUSS,"['BUS105', 'MKT390']"
sampling,SUTD,[50.017]
sampling,SIT,['CSC1006']
x,NUS,['ST2132']
confidence,NUS,"['ST2132', 'ST4231', 'ST4231']"
confidence,NTU,"['CC0001', 'MH2500', 'MH3500', 'MH3500', 'MH3511', 'MH3511']"
confidence,SMU,['DSA201']
confidence,SUTD,[50.046]
interval,NUS,"['ST2132', 'ST4231', 'ST4231']"
interval,NTU,"['MH2500', 'MH3500', 'MH3500', 'MH3511', 'MH3511']"
interval,SMU,['DSA201']
interval,SUSS,['BUS105']
exact,NUS,['ST2132']
asymptotic,NUS,['ST2132']
asymptotic,NTU,"['CZ1007', 'CZ2001']"
pivotal,NUS,['ST2132']
hypothesis,NUS,"['ST2132', 'ST4234']"
hypothesis,NTU,"['MH2500', 'MH3500', 'MH3500', 'MH3500', 'MH3500', 'MH3500', 'MH3511', 'MH3511']"
hypothesis,SUSS,['BUS105']
ratio,NUS,['ST2132']
ratio,SMU,['DSA201']
test,NUS,"['ST2132', 'CS3243']"
test,NTU,"['CZ2006', 'MH3500', 'MH3500', 'MH3500', 'MH3500', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511']"
test,SMU,['DSA201']
test,SUTD,"[50.001, 50.002, 50.003, 50.003, 50.049, 50.053, 50.053, 50.053, 50.053, 50.053, 50.053, 50.053]"
neyman,NUS,['ST2132']
neyman,NTU,"['MH3500', 'MH3500', 'MH3500']"
neyman,SMU,['DSA201']
pearson,NUS,['ST2132']
pearson,NTU,"['MH3500', 'MH3500', 'MH3500']"
pearson,SMU,['DSA201']
lemma,NUS,['ST2132']
lemma,NTU,"['MH1812', 'MH3500', 'MH3500']"
lemma,SMU,['DSA201']
lemma,SUTD,[50.05]
machine,NUS,"['CS3244', 'DSA4212', 'DSA4212', 'MA4270', 'ST4248', 'CS3210']"
machine,NTU,"['CZ1003', 'CZ3005', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041']"
machine,SMU,"['CS421', 'CS421', 'CS421', 'CS421', 'CS421', 'CS421', 'DSA306', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460']"
machine,SUTD,"[50.002, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 40.319, 40.319, 40.319, 50.038, 50.038, 50.038, 50.038, 50.038, 50.04, 50.04, 50.017, 50.021]"
machine,SIT,"['CSC1006', 'CSC3009', 'CSC3009', 'CSC3009', 'CSC3005']"
neural,NUS,"['CS3244', 'DSA4211', 'ST4248', 'CS4248', 'CS4248', 'CS4248', 'CS4248', 'CS4248']"
neural,NTU,['CZ4041']
neural,SMU,"['ACCT420', 'IS460', 'IS460', 'IS460']"
neural,SUTD,"[50.007, 50.007, 40.319, 40.319, 40.319, 40.319, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.04, 50.021, 50.021, 50.021, 50.021, 50.021, 50.021, 50.021, 50.045, 50.045, 50.045]"
network,NUS,"['CS3244', 'DSA4211', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'ST4248', 'CS3210', 'CS4234', 'CS4248', 'CS4248', 'CS4248', 'CS4248', 'CS4248', 'CS5340 ', 'CS5340 ']"
network,NTU,['CZ4041']
network,SMU,"['ACCT420', 'DSA212', 'IS460', 'IS460', 'IS460']"
network,SUSS,"['ANL355', 'BUS107', 'MKT365']"
network,SUTD,"[50.007, 50.007, 50.007, 40.319, 40.319, 40.319, 40.319, 50.038, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.035, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.04, 50.012, 50.012, 50.012, 50.012, 50.012, 50.012, 50.012, 50.02, 50.02, 50.02, 50.02, 50.02, 50.02, 50.02, 50.02, 50.02, 50.021, 50.021, 50.021, 50.021, 50.021, 50.021, 50.021, 50.042, 50.045, 50.045, 50.045, 50.046]"
self,NUS,"['CS3244', 'CS4231']"
self,NTU,"['CC0005', 'CC0005', 'CC0005', 'CC0005', 'CZ4032']"
convex,NUS,"['DSA3102', 'DSA3102', 'MA3236', 'MA4270', 'MA4270']"
convex,SUTD,"[50.05, 50.05]"
optimisation,NUS,"['DSA3102', 'DSA4212', 'DSA4212', 'ST3247', 'CS3223', 'CS4234']"
optimisation,SUSS,"['BUS107', 'BUS352']"
optimisation,SUTD,[50.02]
high,NUS,"['DSA3102', 'DSA4211', 'CS4225']"
high,NTU,['CZ1003']
high,SUTD,[50.043]
dimensional,NUS,"['DSA3102', 'DSA4211']"
dimensional,NTU,['CZ1003']
structured,NUS,"['DSA3102', 'DSA4211']"
structured,NTU,['CZ2007']
sub,NUS,"['DSA3102', 'DSA3102']"
stochastic,NUS,"['DSA3102', 'DSA4212', 'ST3247']"
stochastic,SMU,['STAT201']
stochastic,SUTD,[50.021]
block,NUS,['DSA3102']
coordinate,NUS,['DSA3102']
coordinate,NTU,['MH2100']
descent,NUS,['DSA3102']
descent,SUTD,[50.021]
lagrangian,NUS,"['DSA3102', 'MA3236', 'MA3236']"
duals,NUS,['DSA3102']
splitting,NUS,['DSA3102']
regression,NUS,"['ST3131', 'ST3131', 'ST3131', 'ST3131', 'DSA4211', 'ST3248']"
regression,NTU,"['MH3511', 'MH3511', 'MH3511', 'CZ4041']"
regression,SMU,"['CS421', 'DSA211', 'DSA303', 'IS460', 'IS460', 'OPIM326', 'OPIM326', 'OPIM326']"
regression,SUSS,"['BUS105', 'ANL321', 'ANL321', 'ANL321']"
regression,SUTD,"[50.007, 50.007, 50.038, 50.053]"
regression,SIT,['CSC3009']
simple,NUS,"['ST3131', 'ST3239']"
simple,NTU,"['CZ1003', 'CZ1007', 'MH2802', 'MH3511']"
simple,SUTD,"[50.002, 50.002, 50.002, 50.002, 50.038, 50.05]"
building,NUS,"['ST3131', 'CS4225']"
building,NTU,['CC0005']
building,SUTD,"[40.319, 50.045, 50.052, 50.052]"
diagnostics,NUS,['ST3131']
diagnostics,SUSS,['BME363']
variance,NUS,"['ST3131', 'ST3247']"
variance,NTU,"['MH2500', 'MH2500', 'MH3500', 'MH3511']"
covariance,NUS,"['ST3131', 'ST4250']"
covariance,NTU,['MH2500']
generalized,NUS,"['ST3131', 'ST4234']"
generalized,SUTD,[40.319]
communicate,NUS,['DSA4199']
communicate,NTU,['CZ4032']
communicate,SUTD,[50.006]
communicate,SIT,['ICT2101']
research,NUS,['DSA4199']
research,NTU,"['CZ4032', 'SC4079']"
research,SUSS,"['ANL355', 'MKT390', 'MKT390']"
finding,NUS,"['DSA4199', 'DSA4262', 'DSA4263', 'DSA4266']"
estimation,NUS,"['DSA4211', 'DSA4211', 'ST4253', 'ST3239', 'ST4234']"
estimation,NTU,"['MH2500', 'MH3500', 'MH3500']"
estimation,SMU,"['DSA201', 'DSA303']"
estimation,SUSS,"['BUS105', 'ANL321', 'BUS353']"
estimation,SIT,['CSC3009']
inference,NUS,"['DSA4211', 'ST4250', 'CS5340 ']"
inference,NTU,"['MH1812', 'MH1812', 'MH3511', 'MH3511', 'MH3511']"
inference,SMU,"['DSA201', 'DSA201', 'DSA211', 'DSA303']"
inference,SUSS,['ANL321']
inference,SUTD,[50.007]
principal,NUS,"['DSA4211', 'ST4250', 'ST3248', 'CS4243']"
principal,SMU,['IS460']
component,NUS,"['DSA4211', 'ST4250', 'ST3248', 'CS4243']"
component,SMU,['IS460']
component,SUTD,"[50.043, 50.046]"
component,SIT,"['CSC1009', 'CSC2003']"
clustering,NUS,"['DSA4211', 'ST3248']"
clustering,NTU,['CZ4041']
clustering,SMU,"['CS421', 'OPIM326']"
clustering,SUSS,"['ANL305', 'ANL305']"
clustering,SUTD,"[50.007, 50.045, 50.045]"
clustering,SIT,['CSC3009']
classification,NUS,"['DSA4211', 'ST4250', 'ST3248']"
classification,NTU,['CZ4041']
classification,SMU,"['CS421', 'OPIM326']"
classification,SUTD,"[50.035, 50.039, 50.039, 50.045]"
classification,SIT,['CSC3009']
tree,NUS,"['DSA4211', 'MA3252', 'ST4248']"
tree,NTU,"['CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ4041']"
tree,SMU,"['DSA211', 'OPIM326']"
tree,SIT,['ICT1008']
hidden,NUS,['DSA4211']
hidden,SUSS,['ANL201']
hidden,SUTD,"[50.007, 50.007, 50.038]"
markov,NUS,"['DSA4211', 'ST3247', 'ST4231', 'ST4234', 'CS5340 ']"
markov,NTU,['MH2802']
markov,SMU,['DSA201']
markov,SUTD,"[50.007, 50.007]"
sliced,NUS,['DSA4211']
inverse,NUS,['DSA4211']
inverse,NTU,['MH1812']
sure,NUS,['DSA4211']
independent,NUS,['DSA4211']
independent,NTU,['MH3511']
screening,NUS,['DSA4211']
si,NUS,['DSA4211']
penalized,NUS,['DSA4211']
selection,NUS,"['DSA4211', 'ST3248']"
selection,NTU,['CZ1003']
selection,SMU,['DSA211']
selection,SUTD,"[40.319, 50.046]"
second,NUS,['DSA4212']
type,NUS,['DSA4212']
type,NTU,"['CZ1003', 'CZ1003', 'MH3500', 'MH3511', 'MH3511', 'MH3511']"
type,SMU,['DSA212']
type,SUTD,[50.051]
duality,NUS,"['DSA4212', 'MA3236', 'MA3252', 'MA3252']"
python,NUS,['DSA4212']
python,NTU,['CZ1003']
python,SMU,['IS1702']
python,SUSS,"['ANL252', 'ANL252', 'ANL252', 'ANL252', 'BME363', 'MKT365', 'MKT365']"
python,SUTD,"[10.014, 10.014, 10.014, 50.038]"
python,SIT,"['ICT1002', 'CSC3009']"
formulating,NUS,"['DSA4262', 'DSA4263', 'DSA4266']"
formulating,SUTD,"[50.003, 50.003]"
analytic,NUS,"['DSA4262', 'DSA4263', 'DSA4266']"
analytic,SMU,['IS417']
tool,NUS,"['DSA4262', 'DSA4263', 'DSA4266']"
tool,SMU,['COR1305']
tool,SUTD,[50.005]
technique,NUS,"['DSA4262', 'DSA4263', 'DSA4266', 'CS4225']"
technique,NTU,"['CC0002', 'CC0002', 'MH2802', 'CZ2007', 'CZ3005', 'CZ4041']"
technique,SMU,"['IS415', 'IS424', 'OPIM326']"
technique,SUSS,"['ANL201', 'BUS105']"
technique,SUTD,"[40.319, 50.006, 50.021, 50.045, 50.045]"
communicating,NUS,"['DSA4262', 'DSA4263', 'DSA4266']"
insight,NUS,"['DSA4262', 'DSA4263', 'DSA4266']"
insight,SUSS,['MKT371']
optimization,NUS,"['MA3236', 'MA3236', 'MA3236', 'MA3236', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'CS4224', 'CS4225', 'CS4225']"
optimization,NTU,"['MH1805', 'CZ2007']"
optimization,SMU,['OPIM326']
optimization,SUSS,['ANL355']
optimization,SUTD,"[50.021, 50.021]"
optimization,SIT,['CSC2008']
importance,NUS,['MA3236']
importance,NTU,['CZ3005']
operation,NUS,"['MA3236', 'CS3210']"
operation,NTU,"['CZ1003', 'CZ1003', 'CZ1003', 'MH1812', 'MH1812', 'MH2802', 'MH2802', 'MH2802']"
operation,SMU,['ACCT420']
operation,SUSS,"['ANL355', 'BUS352', 'BUS352']"
operation,SUTD,"[50.004, 50.043, 50.043]"
operation,SIT,"['CSC1006', 'CSC2008']"
unconstrained,NUS,['MA3236']
newton,NUS,['MA3236']
raphson,NUS,['MA3236']
constrained,NUS,['MA3236']
karush,NUS,['MA3236']
kuhn,NUS,['MA3236']
tucker,NUS,['MA3236']
optimality,NUS,"['MA3236', 'MA3236', 'MA3252', 'CS4234']"
condition,NUS,"['MA3236', 'MA3236', 'MA3252']"
saddle,NUS,['MA3236']
point,NUS,"['MA3236', 'MA3252', 'MA3252', 'CS4243']"
point,NTU,"['MH2802', 'CC0006', 'MH3511']"
point,SMU,['DSA303']
point,SUTD,[50.039]
frank,NUS,['MA3236']
wolfe,NUS,['MA3236']
lp,NUS,"['MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252']"
simplex,NUS,"['MA3252', 'MA3252', 'MA3252', 'MA3252', 'MA3252']"
simplex,SUSS,"['ANL355', 'ANL355']"
graph,NUS,"['MA3252', 'CS3230']"
graph,NTU,"['MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'MH1812', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ2001', 'CZ2001']"
graph,SUTD,"[50.004, 50.004, 50.05, 50.05, 50.05, 50.05, 50.05, 50.05]"
integer,NUS,"['MA3252', 'CS4234']"
integer,SUSS,['ANL355']
algorithmic,NUS,"['MA3252', 'CS4225']"
algorithmic,SIT,['CSC1009']
via,NUS,['MA3252']
graphical,NUS,"['MA3252', 'CS5340 ', 'CS5340 ']"
graphical,SMU,"['CS420', 'IS428']"
graphical,SUTD,"[50.007, 40.319]"
geometry,NUS,"['MA3252', 'CS4243']"
geometry,NTU,"['MH2802', 'MH2802', 'MH2100']"
geometry,SUTD,"[50.05, 50.05, 50.05, 50.05]"
polyhedron,NUS,['MA3252']
existence,NUS,['MA3252']
optimal,NUS,['MA3252']
solution,NUS,"['MA3252', 'MA3252']"
solution,NTU,['ML0004']
solution,SUTD,[50.049]
solution,SIT,['ICT3210/ICT3110']
reduced,NUS,['MA3252']
cost,NUS,"['MA3252', 'MA3252', 'ST3239']"
cost,SUSS,"['FIN203', 'BUS353', 'ECO202']"
iterative,NUS,"['MA3252', 'CS3243']"
step,NUS,['MA3252']
step,NTU,['CZ1003']
phase,NUS,['MA3252']
dual,NUS,"['MA3252', 'MA3252']"
sensitivity,NUS,['MA3252']
minimal,NUS,['MA3252']
minimal,SUTD,[50.05]
spanning,NUS,['MA3252']
spanning,NTU,['CZ2001']
spanning,SUTD,[50.05]
shortest,NUS,['MA3252']
shortest,NTU,['CZ2001']
shortest,SUTD,[50.004]
path,NUS,['MA3252']
