construct,NTU,"['CZ1003', 'CZ1003', 'CZ1003', 'CZ1007', 'CZ2001', 'MH3500', 'MH3500', 'MH3511', 'MH3511']"
construct,SUSS,['BUS352']
construct,SIT,"['CSC1009', 'CSC1009', 'CSC1009']"
data,NUS,"['CS1010', 'DSA1101', 'DSA1101', 'CS2040', 'CS2040', 'DSA2101', 'DSA2101', 'DSA2101', 'DSA2101', 'DSA2101', 'DSA2101', 'ST3131', 'DSA4262', 'DSA4263', 'DSA4266', 'ST3232', 'ST4253', 'ST3239', 'ST3247', 'ST4231', 'ST4234', 'CS3210', 'CS3223', 'CS4224', 'CS4224', 'CS4225', 'CS4225', 'CS4225', 'CS5340 ', 'MA4230']"
data,NTU,"['CZ1003', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ2001', 'CZ2007', 'CZ2007', 'CZ2007', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'CC0007', 'CZ4041', 'CZ4032', 'CZ4032', 'CZ4032', 'CZ4032', 'CZ4032', 'CZ4032', 'CZ4032', 'CZ4032', 'CZ4032']"
data,SMU,"['ACCT420', 'ACCT420', 'CS421', 'DSA211', 'DSA212', 'DSA212', 'DSA212', 'DSA212', 'DSA212', 'DSA212', 'DSA212', 'DSA303', 'DSA303', 'DSA303', 'DSA303', 'DSA303', 'DSA303', 'DSA303', 'DSA303', 'DSA306', 'DSA306', 'DSA306', 'DSA306', 'DSA306', 'DSA306', 'ECON245', 'IS105', 'IS105', 'IS105', 'IS112', 'IS112', 'IS1702', 'IS417', 'IS417', 'IS417', 'IS417', 'IS417', 'IS417', 'IS417', 'IS417', 'IS417', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS424', 'IS460', 'MKTG228', 'MKTG228']"
data,SUSS,"['ANL201', 'ANL201', 'ANL201', 'ANL201', 'ANL201', 'ANL252', 'ANL303', 'ANL303', 'ANL303', 'ANL303', 'ANL303', 'ANL303', 'ANL305', 'ANL310', 'ANL310', 'ANL488', 'ACC353', 'ACC353', 'ACC353', 'ANL317', 'ANL351', 'ANL351', 'BME363', 'BME363', 'BUS352', 'BUS352', 'BUS352', 'ENG233', 'ICT330', 'ICT330', 'MKT365', 'MKT365', 'MKT365', 'MKT371']"
data,SUTD,"[50.001, 50.001, 50.001, 50.003, 50.003, 50.004, 50.004, 50.004, 50.004, 50.004, 50.038, 50.038, 50.038, 50.038, 50.038, 50.038, 50.038, 50.038, 50.038, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.042, 50.045, 50.045, 50.046, 50.049, 50.05, 50.05, 50.051, 50.051, 50.053]"
data,SIT,"['CSC1006', 'CSC3009', 'ICT1008', 'ICT1008', 'ICT1008', 'ICT1008', 'DCM1112', 'DCM1112', 'DCM1112', 'CSC2008', 'CSC3004', 'ICT3210/ICT3110', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005']"
structure,NUS,"['CS1010', 'CS2040', 'CS2040', 'CS4243']"
structure,NTU,"['CZ1003', 'CZ1003', 'MH1812', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ2001']"
structure,SMU,"['CS421', 'IS1702']"
structure,SUSS,['FIN203']
structure,SUTD,"[50.001, 50.001, 50.002, 50.004, 50.004, 50.004, 50.004, 50.004, 50.021, 50.049]"
structure,SIT,"['ICT1002', 'ICT1008', 'ICT1008', 'ICT1008', 'ICT1008']"
sorting,NUS,"['CS1010', 'CS2040']"
recursion,NUS,['CS1010']
recursion,SIT,['ICT1008']
probability,NUS,"['DSA1101', 'ST2131', 'ST2131', 'ST2131', 'ST2131']"
probability,NTU,"['MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH2500', 'MH3500', 'MH3500', 'MH3500']"
probability,SMU,"['CS421', 'IS460', 'STAT201', 'STAT201', 'STAT201']"
probability,SUSS,"['BUS105', 'ANL321']"
probability,SIT,"['CSC1006', 'CSC1006', 'CSC3009']"
statistic,NUS,"['DSA1101', 'ST2132', 'ST2132', 'ST3131', 'ST3232', 'ST4253', 'ST3239', 'ST4250', 'ST3247', 'ST4231', 'ST4234', 'CS4225']"
statistic,NTU,"['MH2500', 'MH2500', 'MH3500', 'MH3500']"
statistic,SMU,"['COR1305', 'CS421', 'IS460']"
statistic,SUSS,"['BUS105', 'ANL321', 'ANL321', 'ANL321']"
statistic,SIT,"['CSC1006', 'CSC1006', 'CSC1006', 'CSC3005']"
manipulation,NUS,"['DSA1101', 'DSA2101', 'MA4230']"
supervised,NUS,['DSA1101']
supervised,NTU,['CZ4041']
supervised,SMU,"['CS421', 'IS460']"
supervised,SUTD,"[50.007, 40.319, 50.021]"
unsupervised,NUS,['DSA1101']
unsupervised,NTU,['CZ4041']
unsupervised,SMU,"['CS421', 'IS460']"
unsupervised,SUSS,['ANL305']
unsupervised,SUTD,"[50.007, 40.319, 50.04]"
learning,NUS,"['DSA1101', 'CS3244', 'CS3244', 'CS3244', 'CS3244', 'CS3244', 'DSA4211', 'DSA4212', 'DSA4212', 'DSA4212', 'DSA4212', 'MA4270', 'MA4270', 'ST3248', 'ST4248', 'ST4248', 'CS4248']"
learning,NTU,"['CZ3005', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4041', 'CZ4032', 'SC4079']"
learning,SMU,"['ACCT420', 'CS420', 'CS421', 'CS421', 'CS421', 'CS421', 'CS421', 'CS421', 'CS421', 'CS421', 'DSA306', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460', 'IS460']"
learning,SUSS,['ANL305']
learning,SUTD,"[50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 50.007, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 50.038, 50.038, 50.038, 50.038, 50.038, 50.038, 50.035, 50.035, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.039, 50.04, 50.04, 50.04, 50.04, 50.017, 50.021, 50.021, 50.045, 50.045, 50.045, 50.046]"
learning,SIT,"['CSC1006', 'CSC3009', 'CSC3009', 'CSC3009', 'CSC3009', 'CSC3005', 'Computer Vision and Deep Learning']"
model,NUS,"['DSA1101', 'ST2132', 'ST3131', 'ST3131', 'ST3131', 'ST3131', 'DSA4211', 'ST4253', 'ST4253', 'ST3248', 'ST3248', 'ST4234', 'ST4234', 'ST4234', 'ST4234', 'CS3210', 'CS3210', 'CS3210', 'CS3223', 'CS4243', 'CS4248', 'CS5340 ', 'CS5340 ', 'CS5340 ']"
model,NTU,"['ML0004', 'CZ2007', 'CZ2007', 'MH3500', 'MH3511', 'MH3511', 'MH3511', 'CZ4041']"
model,SMU,"['COR1305', 'CS420', 'DSA211', 'DSA301', 'DSA301', 'DSA301', 'DSA303', 'DSA303', 'DSA303', 'ECON233', 'ECON233', 'ECON233', 'ECON233', 'ECON233', 'ECON233']"
model,SUSS,"['ANL307', 'ANL310', 'ANL321', 'BUS352', 'BUS352', 'ECO202']"
model,SUTD,"[50.007, 50.007, 50.007, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 40.319, 50.038, 50.038, 50.038, 50.039, 50.039, 50.042, 50.042, 50.045, 50.045, 50.045, 50.053]"
model,SIT,"['ICT2101', 'ICT2101', 'CSC2008']"
validation,NUS,['DSA1101']
validation,SUTD,[50.007]
big,NUS,"['DSA1101', 'MA3252']"
big,NTU,"['CZ2001', 'CZ2001']"
big,SMU,"['DSA211', 'DSA306', 'DSA306', 'DSA306', 'DSA306']"
big,SUTD,"[50.038, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043, 50.043]"
big,SIT,"['CSC3005', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005', 'CSC3005']"
analysis,NUS,"['DSA1101', 'CS2040', 'DSA2101', 'DSA2101', 'ST3131', 'ST3131', 'DSA4211', 'DSA4211', 'MA3252', 'MA4270', 'MA4270', 'ST3232', 'ST4250', 'ST4250', 'ST3247', 'CS3230', 'CS3230', 'CS3230', 'CS4243']"
analysis,NTU,"['CC0001', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ1007', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'CZ2001', 'MH3511', 'MH3511', 'MH3511', 'CZ4032', 'CZ4032']"
analysis,SMU,"['COR1305', 'CS421', 'DSA211', 'DSA211', 'DSA212', 'DSA303', 'DSA303', 'DSA306', 'IS415', 'IS415', 'IS424', 'IS460']"
analysis,SUSS,"['ANL201', 'ANL305', 'ACC353', 'BUS107', 'MKT365', 'MKT371']"
analysis,SUTD,"[50.002, 50.038, 50.04, 50.051]"
analysis,SIT,['ICT1008']
r,NUS,"['DSA1101', 'DSA2101', 'ST3248', 'ST4248']"
r,NTU,"['MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511', 'MH3511']"
r,SMU,"['DSA211', 'DSA212', 'DSA303', 'DSA306', 'ECON245', 'ECON245', 'OPIM326', 'OPIM326', 'OPIM326']"
r,SUTD,[50.038]
r,SIT,['CSC3009']
