Source,Target,Weight,Type
0,5,0.21215757126171106,Undirected
0,29,0.30286981261594165,Undirected
0,32,0.2247464253849596,Undirected
0,47,0.47570273364643184,Undirected
0,69,0.209622588806573,Undirected
0,106,0.32503372740478964,Undirected
0,147,0.20416305726533293,Undirected
0,151,0.24518023256267107,Undirected
1,24,0.30902814267211404,Undirected
1,27,0.2599182188927775,Undirected
1,50,0.4696911511247544,Undirected
1,54,0.3435455229360877,Undirected
2,27,0.26114129243323325,Undirected
2,173,0.32532328291657964,Undirected
3,20,0.23402306941961934,Undirected
4,149,0.22434853810115404,Undirected
5,10,0.6583283882661205,Undirected
5,17,0.2173015716515403,Undirected
5,32,0.5350695558637397,Undirected
5,51,0.6353171844310288,Undirected
5,82,0.2878853825317167,Undirected
5,87,0.3080631577067201,Undirected
5,151,0.5016382312895405,Undirected
5,173,0.27080376597973965,Undirected
6,34,0.3185128283695023,Undirected
6,148,0.36209652505023393,Undirected
7,17,0.26161004720642533,Undirected
7,22,0.20576477486079067,Undirected
7,48,0.2868997124087222,Undirected
7,52,0.308433629337594,Undirected
7,65,0.24767964280558707,Undirected
7,66,0.24774877633558154,Undirected
7,67,0.25555413675389954,Undirected
7,85,0.3043681183731585,Undirected
7,94,0.2034774017597379,Undirected
7,98,0.2673834756667153,Undirected
7,100,0.21422226864130858,Undirected
7,101,0.24248407551350232,Undirected
7,108,0.24492910577003624,Undirected
7,109,0.32824885217745847,Undirected
7,110,0.23784681116468911,Undirected
7,118,0.2245805664557991,Undirected
7,133,0.20621442109851948,Undirected
7,144,0.22856772274947543,Undirected
7,154,0.20226489782154825,Undirected
7,155,0.2636238897382585,Undirected
7,157,0.21229620037302133,Undirected
7,158,0.2215922441547063,Undirected
7,164,0.2669225760191184,Undirected
8,36,0.23362104149615276,Undirected
9,103,0.23224378874422885,Undirected
10,17,0.21976373558548495,Undirected
10,32,0.37814220619956707,Undirected
10,47,0.23998851658049694,Undirected
10,51,0.4547729735823395,Undirected
10,82,0.3595868233633241,Undirected
10,87,0.41813934189580865,Undirected
10,106,0.22621783158100434,Undirected
10,151,0.5650189496133815,Undirected
10,153,0.21263865263255524,Undirected
10,173,0.37095172311050856,Undirected
11,37,0.5354192327928774,Undirected
11,39,0.21421251609225894,Undirected
11,150,0.5150327938733243,Undirected
11,176,0.32964256803411834,Undirected
12,18,0.3073759322753272,Undirected
12,30,0.29524852432389725,Undirected
12,40,0.20484898025032255,Undirected
12,55,0.6810460621084786,Undirected
12,84,0.27863399190560695,Undirected
12,114,0.6371079288633927,Undirected
12,124,0.2931047475661613,Undirected
12,167,0.26250114910952527,Undirected
13,30,0.20617635913138613,Undirected
13,49,0.4914312472196365,Undirected
13,91,0.36370764737722006,Undirected
16,39,0.3467496296313981,Undirected
16,81,0.3186137734458455,Undirected
16,84,0.23094883768470953,Undirected
16,98,0.2112671488474205,Undirected
16,104,0.24698259423120844,Undirected
16,105,0.24884012623556498,Undirected
16,143,0.363229258536537,Undirected
16,156,0.33675991932676186,Undirected
17,83,0.2413945234108863,Undirected
17,87,0.2367229162498215,Undirected
17,94,0.25585419850366264,Undirected
17,106,0.2186004264001461,Undirected
17,151,0.20920661268407728,Undirected
17,154,0.2038934136510899,Undirected
17,164,0.39370016427226256,Undirected
18,19,0.4141832861160258,Undirected
18,55,0.20394375318323954,Undirected
18,56,0.4710477844374056,Undirected
18,77,0.2743516720092063,Undirected
18,78,0.2377947590912412,Undirected
18,96,0.36459340630533865,Undirected
18,124,0.37393505070273486,Undirected
18,129,0.24026422747003734,Undirected
18,176,0.2386500647130079,Undirected
19,56,0.24573480387558605,Undirected
19,60,0.21507573916099598,Undirected
19,73,0.20643777001202096,Undirected
19,96,0.3085954906527215,Undirected
19,97,0.21961695466908523,Undirected
19,100,0.20540164246072656,Undirected
19,124,0.2772581374355185,Undirected
19,176,0.35280883042853545,Undirected
22,31,0.44406672204499087,Undirected
22,57,0.2622176130987113,Undirected
22,64,0.2763574528440213,Undirected
22,95,0.5232507707224037,Undirected
22,111,0.5299323902394335,Undirected
22,153,0.5241598836439153,Undirected
22,154,0.3769740406248064,Undirected
22,155,0.23905950187146635,Undirected
22,157,0.2028445313758897,Undirected
22,158,0.24082677473996733,Undirected
23,52,0.21835710054167004,Undirected
23,85,0.20668094459695646,Undirected
23,109,0.5604592964548621,Undirected
23,110,0.21269358372211852,Undirected
23,118,0.5119732183608636,Undirected
23,119,0.2746243071271285,Undirected
23,121,0.2327023281260143,Undirected
23,122,0.23518582867767995,Undirected
23,123,0.20740071385821762,Undirected
24,50,0.43627261442903154,Undirected
24,54,0.48574192424581514,Undirected
26,61,0.32381383432155686,Undirected
26,146,0.3110175476072901,Undirected
29,47,0.3557879080857934,Undirected
29,147,0.307243791136516,Undirected
30,49,0.205591538162513,Undirected
30,55,0.30080783737779354,Undirected
30,64,0.2127079811165885,Undirected
30,95,0.2175962774944071,Undirected
30,97,0.2291010021273523,Undirected
30,114,0.372552347502277,Undirected
30,124,0.35340966976295635,Undirected
30,129,0.2722313166816519,Undirected
31,57,0.25261010165729764,Undirected
31,63,0.23674663278848207,Undirected
31,64,0.27981215123582653,Undirected
31,70,0.2762095803415454,Undirected
31,76,0.2688627872650708,Undirected
31,79,0.20489595812350642,Undirected
31,95,0.39256330945057083,Undirected
31,111,0.341040019379851,Undirected
31,153,0.377385442127921,Undirected
31,154,0.31414420672113824,Undirected
31,155,0.29053499543883476,Undirected
32,47,0.3077496866302711,Undirected
32,51,0.7186196930013439,Undirected
32,98,0.20410998989503087,Undirected
32,101,0.20224605114901095,Undirected
32,151,0.43061458279954967,Undirected
32,173,0.2017214614492876,Undirected
33,142,0.3569627866850218,Undirected
34,47,0.21534292602547933,Undirected
34,150,0.23831268071959463,Undirected
35,52,0.21011384567236696,Undirected
35,144,0.23289673948737563,Undirected
37,42,0.27166409003399267,Undirected
37,123,0.2166890666311854,Undirected
37,138,0.20999350040331008,Undirected
37,150,0.3379638865233347,Undirected
37,176,0.20918076359248935,Undirected
38,141,0.22705560154301935,Undirected
39,81,0.26314583527873414,Undirected
39,98,0.23423557194280287,Undirected
39,104,0.38148335287202356,Undirected
39,105,0.3864756056085681,Undirected
39,143,0.4639725580212282,Undirected
39,156,0.3740255373644279,Undirected
40,84,0.3540379546090059,Undirected
40,114,0.22412636257685276,Undirected
40,141,0.2974197900536657,Undirected
40,167,0.3178676120013439,Undirected
40,171,0.48508031365912835,Undirected
41,45,0.20636223659973604,Undirected
42,45,0.220477459834033,Undirected
42,138,0.3188831207181967,Undirected
45,122,0.22062868588624746,Undirected
45,123,0.21542577710534502,Undirected
45,138,0.28228414145166963,Undirected
46,48,0.203705271646615,Undirected
46,85,0.3216319997479412,Undirected
46,101,0.37777688520988867,Undirected
46,155,0.22722698713655468,Undirected
46,156,0.3432531858164992,Undirected
47,51,0.2229681297969352,Undirected
47,64,0.21484780504024653,Undirected
47,69,0.21602210709180542,Undirected
47,87,0.21799659063610857,Undirected
47,98,0.20237576743511557,Undirected
47,106,0.3843923277107177,Undirected
47,147,0.2532593600357341,Undirected
47,148,0.22956730739456394,Undirected
47,151,0.29253022458695843,Undirected
47,174,0.20839078005084624,Undirected
48,52,0.2604231441583102,Undirected
48,53,0.2619389367264269,Undirected
48,58,0.20936946778919757,Undirected
48,65,0.23093694405571347,Undirected
48,66,0.23100140428331983,Undirected
48,67,0.2523692061906358,Undirected
48,85,0.3129914845094014,Undirected
48,98,0.28957304742670564,Undirected
48,100,0.22602457952026778,Undirected
48,101,0.24662814825920332,Undirected
48,109,0.24101932560739422,Undirected
48,118,0.20808445004096432,Undirected
48,155,0.31264465719009565,Undirected
49,91,0.2632030648473279,Undirected
50,54,0.33708554522627604,Undirected
51,82,0.24964322301128664,Undirected
51,87,0.20294408851583767,Undirected
51,151,0.5111482646913034,Undirected
51,173,0.28907261679889973,Undirected
52,85,0.31792656819624043,Undirected
52,92,0.21029966266655528,Undirected
52,98,0.39474153015229496,Undirected
52,100,0.277832959748332,Undirected
52,101,0.2147020004789651,Undirected
52,108,0.20133308116142404,Undirected
52,109,0.3063268540673744,Undirected
52,110,0.21906508523157234,Undirected
52,116,0.40736672922953593,Undirected
52,117,0.2422646381821204,Undirected
52,118,0.2254737859371057,Undirected
52,144,0.22361015006764756,Undirected
52,155,0.3164006652869119,Undirected
53,70,0.3363218498136253,Undirected
53,85,0.21855612810523423,Undirected
53,91,0.3350007132972122,Undirected
53,97,0.21109855541046088,Undirected
55,114,0.5588710123736502,Undirected
56,73,0.25488067104757245,Undirected
56,77,0.2614161303650108,Undirected
56,78,0.21607058205030327,Undirected
56,96,0.4559811837277116,Undirected
56,124,0.2785482088499075,Undirected
57,64,0.22884969380815942,Undirected
57,85,0.20580181813505943,Undirected
57,95,0.2827014551618057,Undirected
57,106,0.20712553970678516,Undirected
57,111,0.28475657773412333,Undirected
57,153,0.337743655855246,Undirected
57,154,0.28465408421973876,Undirected
57,155,0.24100611980514378,Undirected
57,157,0.25365722425318815,Undirected
57,158,0.21138145980153322,Undirected
58,65,0.2255733536340945,Undirected
58,66,0.2256363167506137,Undirected
58,67,0.2597820291288167,Undirected
59,68,0.21327176009804735,Undirected
59,70,0.2718424996426748,Undirected
60,71,0.22411321752151095,Undirected
60,72,0.28632574349804185,Undirected
60,74,0.2534661343743614,Undirected
60,78,0.32858124746559475,Undirected
60,97,0.34598189320982187,Undirected
60,129,0.21630379707121003,Undirected
60,153,0.20553329347365948,Undirected
61,146,0.3340196275936516,Undirected
62,122,0.2194202724728106,Undirected
63,76,0.20798614796907142,Undirected
63,97,0.22585410646648055,Undirected
63,129,0.21697773057446823,Undirected
64,76,0.20122898485319285,Undirected
64,79,0.2334827292980448,Undirected
64,87,0.23643393889022724,Undirected
64,95,0.2876687819877386,Undirected
64,97,0.2113114625384415,Undirected
64,111,0.2551283543257164,Undirected
64,153,0.27004752097737866,Undirected
65,66,0.9570444853648775,Undirected
65,67,0.9698384634009068,Undirected
65,109,0.20019153074527035,Undirected
65,123,0.21626127924658742,Undirected
65,137,0.21333989405576478,Undirected
65,145,0.22811302221828889,Undirected
65,155,0.20565406581693327,Undirected
66,67,0.97010916936503,Undirected
66,93,0.2043984382641092,Undirected
66,108,0.20966914406169007,Undirected
66,109,0.21451120899460932,Undirected
66,123,0.21632164313223454,Undirected
66,137,0.225481393942303,Undirected
66,145,0.22817669421928588,Undirected
66,155,0.20571146896628617,Undirected
67,85,0.218780461967809,Undirected
67,123,0.2153003433472154,Undirected
67,137,0.21959789820903677,Undirected
67,145,0.2270994242550869,Undirected
67,155,0.22632393037797013,Undirected
68,69,0.3333315946140057,Undirected
68,70,0.22089153356559238,Undirected
69,70,0.21483697484907557,Undirected
69,87,0.28387813244973514,Undirected
69,131,0.30439663864433203,Undirected
69,135,0.2012289048369019,Undirected
69,151,0.21177283113183296,Undirected
69,164,0.21596063691821898,Undirected
70,76,0.20709442902399028,Undirected
70,91,0.22905507468754654,Undirected
70,97,0.26453518994697417,Undirected
70,106,0.20927288619004847,Undirected
70,135,0.2204142949779102,Undirected
70,154,0.2267209432443878,Undirected
72,78,0.2865756881170578,Undirected
72,99,0.26065736686995444,Undirected
